ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-04-23,481.72,26.0303,407.938,296.2916,18563800079.0,none,2,1,471.34,311.49,breakout_retest,monitor,471.34,464.8324,477.8476,2026-03-18
SNDK,2026-04-23,932.43,59.3374,718.5056,410.5149,13405477727.0,uptrend,3,2,965.0,558.5825,higher_low,primary,558.5825,543.7482,573.4168,2026-03-30
LITE,2026-04-23,846.89,67.7078,722.8845,433.4674,4832585475.0,uptrend,2,2,960.0,800.56,higher_low,primary,800.56,783.633,817.487,2026-04-15
FSLY,2026-04-23,24.96,2.7775,23.1788,14.852,374062267.0,none,2,1,34.82,20.68,breakout_retest,monitor,12.5906,11.8962,13.285,2025-12-02
POET,2026-04-23,11.72,1.0411,7.0561,6.2219,188901762.0,none,1,1,7.75,4.87,breakout_retest,monitor,7.75,7.4897,8.0103,2026-04-13
ICHR,2026-04-23,68.41,3.8299,50.0803,32.6985,38528875.0,uptrend,2,3,52.9,41.58,higher_low,primary,41.58,40.6225,42.5375,2026-03-30
CRDO,2026-04-23,185.54,11.1052,130.5846,124.3528,1032660997.0,none,1,0,125.7,86.485,breakout_retest,monitor,125.7,122.9237,128.4763,2026-03-17
UNFI,2026-04-23,47.61,1.6488,43.0063,37.0277,32454842.0,uptrend,3,3,47.585,43.075,higher_low,primary,43.075,42.6628,43.4872,2026-04-07
MXL,2026-04-23,34.25,1.9792,20.9111,17.4334,65302676.0,none,2,1,20.15,14.7,breakout_retest,monitor,20.15,19.6552,20.6448,2026-02-17
DAR,2026-04-23,60.94,2.1914,56.0995,44.0423,198756721.0,uptrend,3,3,64.9,55.83,higher_low,primary,55.83,55.2821,56.3779,2026-04-17
DAN,2026-04-23,38.38,1.2466,33.707,26.659,33539327.0,uptrend,2,3,34.25,31.62,higher_low,primary,31.62,31.3083,31.9317,2026-03-30
PBF,2026-04-23,40.97,2.7953,41.024,33.7292,145024398.0,none,3,2,52.18,36.121,breakout_retest,monitor,38.83,38.1312,39.5288,2026-02-12
SKM,2026-04-23,37.96,1.5174,31.84,25.8902,64833933.0,uptrend,1,2,31.385,28.21,higher_low,primary,28.21,27.8306,28.5894,2026-03-31
PARR,2026-04-23,63.79,3.7722,55.677,42.6482,91106669.0,none,1,2,66.78,54.0,breakout_retest,monitor,44.265,43.3219,45.2081,2026-02-18
PUMP,2026-04-23,16.83,0.8216,13.4932,10.1681,35216705.0,none,3,2,15.49,12.92,breakout_retest,monitor,15.49,15.2846,15.6954,2026-03-30
GPRE,2026-04-23,16.32,0.8936,15.0606,11.5377,23864604.0,none,3,2,17.94,14.08,breakout_retest,monitor,15.64,15.4166,15.8634,2026-02-12
INTC,2026-04-23,66.78,3.1999,52.9818,40.65,6437387064.0,none,1,1,70.325,40.63,breakout_retest,monitor,49.17,48.37,49.97,2026-03-16
PKX,2026-04-23,68.23,2.1369,61.7822,56.7849,10789379.0,none,2,2,63.94,55.31,breakout_retest,monitor,63.94,63.4058,64.4742,2026-04-09
AMD,2026-04-23,305.33,11.2182,232.2311,202.6979,9087409282.0,none,1,2,221.33,192.865,breakout_retest,monitor,221.33,218.5255,224.1345,2026-03-25
LYG,2026-04-23,5.33,0.1544,5.3739,5.0463,115641418.0,none,1,1,5.75,4.81,breakout_retest,monitor,5.19,5.1514,5.2286,2026-03-25
MYRG,2026-04-23,338.05,12.2047,288.6249,238.5871,84324575.0,uptrend,2,2,288.56,258.195,higher_low,primary,258.195,255.1438,261.2462,2026-03-30
SBS,2026-04-23,34.54,0.9477,30.5348,26.068,44636988.0,uptrend,2,2,30.78,33.37,higher_low,primary,33.37,33.1331,33.6069,2026-04-16
NESR,2026-04-23,23.62,1.1983,21.9554,16.3313,44989633.0,none,2,3,25.3,20.572,breakout_retest,monitor,22.7789,22.4793,23.0785,2026-03-25
THG,2026-04-23,181.87,3.6106,176.2926,175.7263,50932247.0,none,1,1,182.395,168.41,breakout_retest,monitor,181.595,180.6923,182.4977,2026-02-04
BTSG,2026-04-23,47.2,1.6643,43.034,35.688,82637297.0,uptrend,3,2,45.59,40.41,higher_low,primary,40.41,39.9939,40.8261,2026-04-02
NBIS,2026-04-23,157.08,10.1627,122.9788,96.0523,2168270425.0,uptrend,2,2,168.71,89.6525,higher_low,primary,89.6525,87.1118,92.1932,2026-03-30
SSRM,2026-04-23,29.85,1.7984,29.1386,23.5636,118718103.0,uptrend,3,3,36.515,22.56,higher_low,primary,22.56,22.1104,23.0096,2026-03-20
AROC,2026-04-23,36.19,1.0579,34.4754,29.4274,51422626.0,uptrend,2,2,37.01,34.9,higher_low,primary,34.9,34.6355,35.1645,2026-04-17
AGRO,2026-04-23,13.27,0.8444,12.2837,9.9436,23567118.0,uptrend,1,1,15.89,11.79,higher_low,primary,11.79,11.5789,12.0011,2026-04-17
DK,2026-04-23,39.82,2.3016,40.0675,33.8411,52165056.0,none,2,2,48.32,37.02,breakout_retest,monitor,36.21,35.6346,36.7854,2026-02-06
CFG,2026-04-23,65.17,1.6012,61.8342,56.1397,311612519.0,none,3,1,68.79,55.49,breakout_retest,monitor,62.16,61.7597,62.5603,2026-01-08
RELY,2026-04-23,20.46,0.7236,16.8602,16.4406,59254165.0,none,1,2,16.55,14.99,breakout_retest,monitor,16.55,16.3691,16.7309,2026-03-25
AIR,2026-04-23,112.08,5.4019,112.2098,94.6276,49805528.0,uptrend,3,2,127.21,102.26,higher_low,primary,102.26,100.9095,103.6105,2026-03-30
PCG,2026-04-23,16.83,0.4526,17.4641,16.6044,388791983.0,none,2,2,18.92,16.995,breakout_retest,monitor,16.38,16.2669,16.4931,2026-01-02
GRDN,2026-04-23,36.97,1.5468,35.5644,30.2734,18890252.0,uptrend,3,2,41.36,33.92,higher_low,primary,33.92,33.5333,34.3067,2026-03-27
PDS,2026-04-23,92.05,3.4542,89.559,72.9989,11800474.0,none,3,2,103.8,82.18,breakout_retest,monitor,75.25,74.3864,76.1136,2026-01-05
SYM,2026-04-23,62.51,3.3955,56.4079,54.4127,72748261.0,none,1,2,57.445,47.18,breakout_retest,monitor,57.445,56.5961,58.2939,2026-04-01
IFS,2026-04-23,45.79,2.161,48.0802,43.8729,16394129.0,uptrend,2,2,53.0,44.85,higher_low,primary,44.85,44.3098,45.3902,2026-04-15
HASI,2026-04-23,41.88,1.0143,37.5965,33.1946,31721553.0,uptrend,2,2,37.34,35.54,higher_low,primary,35.54,35.2864,35.7936,2026-03-30
DAVE,2026-04-23,274.35,14.3253,208.9039,206.6268,130100242.0,none,2,2,227.69,164.0,breakout_retest,monitor,227.69,224.1087,231.2713,2026-03-10
NTST,2026-04-23,20.75,0.4575,19.8063,18.6344,27057899.0,uptrend,2,3,21.3,18.47,higher_low,primary,18.47,18.3556,18.5844,2026-03-27
TCBI,2026-04-23,103.58,2.9826,98.4126,91.4553,39556920.0,none,2,2,106.67,87.44,breakout_retest,monitor,98.07,97.3244,98.8156,2025-12-11
TILE,2026-04-23,27.95,0.8501,27.7912,27.0571,16177140.0,none,2,2,35.11,24.4,breakout_retest,monitor,26.82,26.6075,27.0325,2025-11-12
FLYW,2026-04-23,13.29,0.5772,12.5553,12.5116,19144001.0,none,1,1,12.775,11.16,breakout_retest,monitor,12.775,12.6307,12.9193,2026-03-25
VLY,2026-04-23,13.77,0.3843,12.6827,11.5268,90609939.0,none,2,2,13.335,11.85,breakout_retest,monitor,13.335,13.2389,13.4311,2026-04-09
SBLK,2026-04-23,24.17,0.8355,23.5532,20.9107,23591442.0,uptrend,2,2,23.51,21.85,higher_low,primary,21.85,21.6411,22.0589,2026-03-30
KC,2026-04-23,16.94,0.8085,14.6545,13.3607,19756502.0,none,2,1,18.38,12.73,breakout_retest,monitor,15.41,15.2079,15.6121,2026-03-18
ASM,2026-04-23,6.99,0.519,7.2352,6.2061,31550677.0,none,1,2,8.055,5.16,breakout_retest,monitor,6.98,6.8502,7.1098,2025-12-22
LFST,2026-04-23,6.99,0.2005,6.6921,6.3371,10115385.0,none,0,2,6.66,6.21,breakout_retest,monitor,6.66,6.6099,6.7101,2026-04-08
BBVA,2026-04-23,21.62,0.7095,22.4307,20.896,42183403.0,uptrend,1,1,24.135,20.26,higher_low,primary,20.26,20.0826,20.4374,2026-03-30
LC,2026-04-23,17.32,0.7061,15.8852,15.7575,25371533.0,none,0,1,15.12,13.675,breakout_retest,monitor,15.12,14.9435,15.2965,2026-03-25
RSI,2026-04-23,23.32,0.8748,21.0946,18.7998,30018448.0,uptrend,2,2,23.15,20.7601,higher_low,primary,20.7601,20.5414,20.9788,2026-04-13
